,opinion,opinion_tri,opinion_bin,opinion_abs,babysitter,cdmx,constant,edad,edad_sq,hijos,hijos_bin,hijos_prim,hijos_prim_o_secu,hijos_secu,hijos_x_babysitter,hijos_x_prim_o_secu,imss,internet,mujer,pcs,publica,ratio_imss_resid,ratio_imss_trab,ratio_pcs_hijos,ratio_pcs_resid,ratio_trab_resid,ratio_tvs_resid,residentes,trabajadores,transporte,tvs,vacunado,vulnerable,wfh
128,0.0,0.0,0.0,0.0,0.0,Coyoacán,1,29.0,841.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.0,0.0,0.0
129,3.0,2.0,1.0,1.0,1.0,Cuajimalpa,1,39.0,1521.0,1.0,1,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,0.5,0.5,0.75,4.0,2.0,1.0,3.0,1.0,0.0,1.0
130,3.0,2.0,1.0,1.0,0.0,Azcapotzalco,1,70.0,4900.0,3.0,1,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,0.6666666666666666,1.0,4.0,1.3333333333333333,0.6666666666666666,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0
131,3.0,2.0,1.0,1.0,1.0,Coyoacán,1,71.0,5041.0,2.0,1,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0
132,3.0,2.0,1.0,1.0,0.0,Xochimilco,1,20.0,400.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,8.0,0.0,0.6666666666666666,1.0,0.0,2.6666666666666665,0.6666666666666666,1.3333333333333333,3.0,2.0,0.0,4.0,1.0,1.0,1.0
135,2.0,1.0,0.0,,0.0,Cuajimalpa,1,25.0,625.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,6.0,0.0,0.8,1.0,0.0,1.2,0.8,1.2,5.0,4.0,1.0,6.0,0.0,0.0,1.0
136,4.0,2.0,1.0,1.0,0.0,Miguel Hidalgo,1,30.0,900.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.5,1.0,1.5,2.0,2.0,1.0,3.0,1.0,0.0,0.0
137,3.0,2.0,1.0,1.0,0.0,Tlalpan,1,70.0,4900.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
138,3.0,2.0,1.0,1.0,1.0,Iztapalapa,1,26.0,676.0,2.0,1,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,0.25,0.5,3.0,0.375,0.5,0.5,8.0,4.0,0.0,4.0,1.0,1.0,1.0
139,2.0,1.0,0.0,,0.0,Coyoacán,1,42.0,1764.0,2.0,1,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.75,1.5,1.0,0.25,0.5,0.5,4.0,2.0,0.0,2.0,1.0,0.0,0.0
